fixed_acidity;volatile_acidity;citric_acid;residual_sugar;chlorides;free_sulfur_dioxide;total_sulfur_dioxide;density;pH;sulphates;alcohol;quality;color
61;32;25;23;71;230;580;9,9633E+15;342;97;106;5;0
65;53;6;20;63;290;440;9,9489E+15;338;83;103;6;0
74;47;46;22;114;70;200;9,9647E+15;332;63;105;5;0
66;7;8;26;106;140;270;99665;344;58;102;5;0
65;53;6;20;63;290;440;9,9489E+15;338;83;103;6;0
69;48;2;19;8,2E+15;90;230;99585;339;43;905;4;0
61;32;25;23;71;230;580;9,9633E+15;342;97;106;5;0
68;48;25;20;76;290;610;9953;334;6;104;5;0
60;42;19;20;75;220;470;9,9522E+15;339;78;100;6;0
67;48;8;21;64;180;340;9,9552E+15;333;64;97;5;0
68;47;8;22;64;180;380;9,9553E+15;33;65;96;6;0
71;53;7;17;71;150;240;9951;329;66;108;6;0
79;29;49;22;96;210;590;9,9714E+15;331;67;101;6;0
71;69;8;21;63;420;520;99608;342;6;102;6;0
66;44;9;22;63;90;180;99444;342;69;113;6;0
61;705;1;28;81;130;280;99631;36;66;102;5;0
72;53;13;20;5,8E+16;180;220;9,9573E+15;321;68;99;6;0
80;39;3;19;7,4E+15;320;840;9,9717E+15;339;61;90;5;0
66;56;14;24;64;130;290;99397;342;62;117;7;0
70;55;13;22;75;150;350;9959;336;59;97;6;0
61;53;8;19;77;240;450;9,9528E+15;36;68;103;6;0
54;58;8;19;5,9E+16;200;310;99484;35;64;102;6;0
62;64;9;25;81;150;260;9,9538E+15;357;63;120;5;0
72;39;32;18;65;340;600;9,9714E+15;346;78;99;5;0
62;52;8;44;71;110;320;99646;356;63;116;6;0
74;25;29;22;5,4E+16;190;490;99666;34;76;109;7;0
67;855;2;19;64;290;380;99472;33;56;1075;6;0
111;44;42;22;64;140;190;9,9758E+15;325;57;104;6;0
84;37;43;23;63;120;190;9955;317;81;112;7;0
65;63;33;18;5,9E+16;160;280;99531;336;64;101;6;0
70;57;2;20;7,2E+15;170;260;99575;336;61;102;5;0
63;6;1;16;48;120;260;99306;355;51;121;5;0
112;4;5;20;99;190;500;9,9783E+15;31;58;104;5;0
74;36;3;18;7,4E+15;170;240;99419;324;7;114;8;0
71;68;0;23;87;170;260;9,9783E+15;345;53;95;5;0
71;67;0;23;83;180;270;9,9768E+15;344;54;94;5;0
63;68;1;37;1,03E+16;320;540;9,9586E+15;351;66;113;6;0
73;735;0;22;8;180;280;99765;341;6;94;5;0
66;855;2;24;62;150;230;9,9627E+15;354;6;110;6;0
70;56;17;17;65;150;240;9,9514E+15;344;68;1055;7;0
66;88;4;22;66;120;200;99636;353;56;99;5;0
66;855;2;24;62;150;230;9,9627E+15;354;6;110;6;0
69;63;33;67;235;660;1150;99787;322;56;95;5;0
78;6;26;20;8;310;1310;9,9622E+15;321;52;99;5;0
78;6;26;20;8;310;1310;9,9622E+15;321;52;99;5;0
78;6;26;20;8;310;1310;9,9622E+15;321;52;99;5;0
72;695;13;20;76;120;200;99546;329;54;101;5;0
72;695;13;20;76;120;200;99546;329;54;101;5;0
72;695;13;20;76;120;200;99546;329;54;101;5;0
67;67;2;19;61;260;420;9,9489E+15;339;82;109;6;0
67;16;64;21;5,9E+16;240;520;9,9494E+15;334;71;112;6;0
72;695;13;20;76;120;200;99546;329;54;101;5;0
70;56;13;16;77;250;420;99629;334;59;92;5;0
62;51;14;19;5,6E+16;150;340;9,9396E+15;348;57;115;6;0
64;36;53;22;23;190;350;9934;337;93;124;6;0
64;38;14;22;38;150;250;9,9514E+15;344;65;111;6;0
73;69;32;22;69;350;1040;9,9632E+15;333;51;95;5;0
60;58;2;24;75;150;500;99467;358;67;125;6;0
56;31;78;139;7,4E+15;230;920;99677;339;48;105;6;0
75;52;4;22;6;120;200;99474;326;64;118;6;0
80;3;63;16;81;160;290;9,9588E+15;33;78;108;6;0
62;7;15;51;76;130;270;9,9622E+15;354;6;119;6;0
68;67;15;18;1,18E+16;130;200;9954;342;67;113;6;0
62;56;9;17;53;240;320;9,9402E+15;354;6;113;5;0
74;35;33;24;68;90;260;9947;336;6;119;6;0
62;56;9;17;53;240;320;9,9402E+15;354;6;113;5;0
61;715;1;26;53;130;270;9,9362E+15;357;5;119;5;0
62;46;29;21;7,4E+15;320;980;9,9578E+15;333;62;98;5;0
67;32;44;24;61;240;340;99484;329;8;116;7;0
72;39;44;26;66;220;480;9,9494E+15;33;84;115;6;0
75;31;41;24;65;340;600;99492;334;85;114;6;0
58;61;11;18;66;180;280;9,9483E+15;355;66;109;6;0
72;66;33;25;68;340;1020;9,9414E+15;327;78;128;6;0
66;725;2;78;73;290;790;9977;329;54;92;5;0
63;55;15;18;77;260;350;9,9314E+15;332;82;116;6;0
54;74;9;17;8,9E+15;160;260;9,9402E+15;367;56;116;6;0
63;51;13;23;76;290;400;99574;342;75;110;6;0
68;62;8;19;68;280;380;99651;342;82;95;6;0
62;6;8;20;9;320;440;9949;345;58;105;5;0
59;55;1;22;62;390;510;9,9512E+15;352;76;112;6;0
63;51;13;23;76;290;400;99574;342;75;110;6;0
59;645;12;20;75;320;440;9,9547E+15;357;71;102;5;0
60;31;47;36;67;180;420;99549;339;66;110;6;0
70;27;36;207;45;450;1700;1001;30;45;88;6;1
63;3;34;16;49;140;1320;9,94E+15;33;49;95;6;1
81;28;4;69;5;300;970;9951;326;44;101;6;1
72;23;32;85;5,8E+16;470;1860;9956;319;4;99;6;1
72;23;32;85;5,8E+16;470;1860;9956;319;4;99;6;1
81;28;4;69;5;300;970;9951;326;44;101;6;1
62;32;16;70;45;300;1360;9949;318;47;96;6;1
70;27;36;207;45;450;1700;1001;30;45;88;6;1
63;3;34;16;49;140;1320;9,94E+15;33;49;95;6;1
81;22;43;15;4,4E+16;280;1290;9938;322;45;110;6;1
81;27;41;145;33;110;630;9908;299;56;120;5;1
86;23;4;42;35;170;1090;9947;314;53;97;5;1
79;18;37;12;4;160;750;992;318;63;108;5;1
66;16;4;15;4,4E+16;480;1430;9912;354;52;124;7;1
83;42;62;1925;4;410;1720;10002;298;67;97;5;1
66;17;38;15;32;280;1120;9914;325;55;114;7;1
63;48;4;11;46;300;990;9928;324;36;96;6;1
62;66;48;12;2,9E+16;290;750;9892;333;39;128;8;1
74;34;42;11;33;170;1710;9917;312;53;113;6;1
65;31;14;75;4,4E+16;340;1330;9955;322;5;95;5;1
62;66;48;12;2,9E+16;290;750;9892;333;39;128;8;1
64;31;38;29;38;190;1020;9912;317;35;110;7;1
68;26;42;17;49;410;1220;993;347;48;105;8;1
76;67;14;15;7,4E+15;250;1680;9937;305;51;93;5;1
66;27;41;13;5,2E+16;160;1420;9951;342;47;100;6;1
70;25;32;90;46;560;2450;9955;325;5;104;6;1
69;24;35;10;5,2E+16;350;1460;993;345;44;100;6;1
70;28;39;87;51;320;1410;9961;338;53;105;6;1
74;27;48;11;47;170;1320;9914;319;49;116;6;1
72;32;36;20;33;370;1140;9906;31;71;123;7;1
85;24;39;104;4,4E+16;200;1420;9974;32;53;100;6;1
83;14;34;11;42;70;470;9934;347;4;102;6;1
74;25;36;205;5;310;1000;992;319;44;108;6;1
62;12;34;15;45;430;1170;9939;342;51;90;6;1
58;27;2;1495;4,4E+16;220;1790;9962;337;37;102;5;1
73;28;43;17;8;210;1230;9905;319;42;128;5;1
65;39;23;54;51;250;1490;9934;324;35;100;5;1
70;33;32;12;53;380;1380;9906;313;28;112;6;1
73;24;39;1795;57;450;1490;9999;321;36;86;5;1
73;24;39;1795;57;450;1490;9999;321;36;86;5;1
67;23;39;25;172;630;1580;9937;311;36;94;6;1
67;24;39;29;1,73E+16;630;1570;9937;31;34;94;6;1
70;31;26;74;69;280;1600;9954;313;46;98;6;1
66;24;27;14;57;330;1520;9934;322;56;95;6;1
67;23;26;14;6;330;1540;9934;324;56;95;6;1
74;18;31;14;5,8E+16;380;1670;9931;316;53;100;7;1
62;45;26;44;63;630;2060;9,94E+15;327;52;98;4;1
62;46;25;44;66;620;2070;9939;325;52;98;5;1
70;31;26;74;69;280;1600;9954;313;46;98;6;1
69;19;35;50;67;320;1500;995;336;48;98;5;1
72;19;31;16;62;310;1730;9917;335;44;117;6;1
66;25;29;11;68;390;1240;9914;334;58;110;7;1
62;16;33;11;57;210;820;991;332;46;109;7;1
64;18;35;10;45;390;1080;9911;331;35;109;6;1
68;2;59;9;147;380;1320;993;305;38;91;6;1
69;25;35;13;39;290;1910;9908;313;52;110;6;1
72;21;34;119;43;370;2130;9962;309;5;96;6;1
60;19;26;124;48;500;1470;9972;33;36;89;6;1
66;38;15;46;4,4E+16;250;780;9931;311;38;102;6;1
74;2;36;12;38;440;1110;9926;336;34;99;6;1
68;22;24;49;92;300;1230;9951;303;46;86;6;1
60;19;26;124;48;500;1470;9972;33;36;89;6;1
70;47;7;11;35;170;1510;991;302;34;105;5;1
66;38;15;46;4,4E+16;250;780;9931;311;38;102;6;1
72;24;27;14;38;310;1220;9927;315;46;103;6;1
62;35;3;12;64;290;1200;9934;322;54;91;5;1
64;26;24;64;4;270;1240;9903;322;49;126;7;1
67;25;13;12;4,1E+16;810;1740;992;314;42;98;5;1
67;23;31;21;46;300;960;9926;333;64;107;8;1
74;24;29;101;5;210;1050;9962;313;35;95;5;1
62;27;43;78;5,6E+16;480;2440;9956;31;51;90;6;1
68;3;23;46;61;505;2385;9958;332;6;95;5;1
60;27;28;48;63;310;2010;9964;369;71;100;5;1
86;23;46;10;5,4E+16;90;720;9941;295;49;91;6;1
67;23;31;21;46;300;960;9926;333;64;107;8;1
74;24;29;101;5;210;1050;9962;313;35;95;5;1
71;18;36;14;43;310;870;9898;326;37;127;7;1
70;32;34;13;42;200;690;9912;331;65;120;7;1
74;18;3;88;64;260;1030;9961;294;56;93;5;1
67;54;28;54;6;210;1050;9949;327;37;90;5;1
68;22;31;14;53;340;1140;9929;339;77;106;6;1
71;2;34;160;5;510;1660;9985;321;6;92;6;1
71;34;2;61;63;470;1640;9946;317;42;100;5;1
73;22;3;82;47;420;2070;9966;333;46;95;6;1
71;43;61;118;45;540;1550;9974;311;45;87;5;1
71;44;62;118;4,4E+16;520;1520;9975;312;46;87;6;1
72;39;63;110;4,4E+16;550;1560;9974;309;44;87;6;1
68;25;31;133;5;690;2020;9972;322;48;97;6;1
71;43;61;118;45;540;1550;9974;311;45;87;5;1
71;44;62;118;4,4E+16;520;1520;9975;312;46;87;6;1
72;39;63;110;4,4E+16;550;1560;9974;309;44;87;6;1
61;27;43;75;49;650;2430;9957;312;47;90;5;1
69;24;33;17;35;470;1360;99;326;4;126;7;1
69;21;33;18;34;480;1360;9899;325;41;126;7;1
75;17;32;17;4;510;1480;9916;321;44;115;7;1
71;26;29;124;4,4E+16;620;2400;9969;304;42;92;6;1
60;34;66;159;46;260;1640;9979;314;5;88;6;1
86;265;36;12;34;150;800;9913;295;36;114;7;1
98;36;46;105;38;40;830;9956;289;3;101;4;1
60;34;66;159;46;260;1640;9979;314;5;88;6;1
74;25;37;135;6;520;1920;9975;30;44;91;5;1
71;12;32;96;5,4E+16;640;1620;9962;34;41;94;5;1
60;21;24;121;5;550;1640;997;334;39;94;5;1
75;305;4;189;5,9E+16;440;1700;10;299;46;90;5;1
74;25;37;135;6;520;1920;9975;30;44;91;5;1
73;13;32;144;51;340;1090;9974;32;35;92;6;1
71;12;32;96;5,4E+16;640;1620;9962;34;41;94;5;1
71;23;35;165;4;600;1710;9,99E+15;316;59;91;6;1
71;23;35;165;4;600;1710;9,99E+15;316;59;91;6;1
69;33;28;13;51;370;1870;9927;327;6;103;5;1
65;17;54;85;8,2E+15;640;1630;9959;289;39;88;6;1
72;27;46;1875;5,2E+16;450;2550;10;304;52;89;5;1
72;31;5;133;5,6E+16;680;1950;9982;301;47;92;5;1
67;41;34;92;49;290;1500;9968;322;51;91;5;1
67;41;34;92;49;290;1500;9968;322;51;91;5;1
55;485;0;15;65;80;1030;9,94E+15;363;4;97;4;1
60;31;24;33;4,1E+16;250;1430;9914;331;44;113;6;1
70;14;4;17;35;160;850;9911;319;42;118;6;1
72;31;5;133;5,6E+16;680;1950;9982;301;47;92;5;1
73;32;48;133;6;570;1960;9982;304;5;92;5;1
59;36;4;57;46;210;870;9934;322;51;102;5;1
78;24;32;122;5,4E+16;420;1380;9984;301;54;88;5;1
74;16;31;685;5,9E+16;310;1310;9952;329;34;97;5;1
69;19;28;50;5,8E+16;140;1460;9952;329;36;91;6;1
64;13;47;16;92;400;1580;9928;321;36;98;6;1
67;19;36;11;2,6E+16;630;1430;9912;327;48;110;6;1
74;39;23;70;33;290;1260;9,94E+15;314;42;105;5;1
65;24;32;76;38;480;2030;9958;345;54;97;7;1
61;3;56;28;4,4E+16;470;1790;9924;33;57;109;7;1
61;3;56;27;46;460;1840;9924;331;57;109;6;1
57;26;25;104;2;70;570;9,94E+15;339;37;106;5;1
65;24;32;76;38;480;2030;9958;345;54;97;7;1
65;425;4;131;38;590;2410;9979;323;57;90;5;1
66;24;27;158;35;460;1880;9982;324;51;92;5;1
68;27;22;81;34;550;2030;9961;319;52;89;5;1
67;27;31;157;3,6E+16;440;1790;9979;326;56;96;5;1
82;23;4;12;2,7E+16;360;1210;992;312;38;107;6;1
71;37;67;105;45;490;1550;9975;316;44;87;5;1
68;19;36;19;35;300;960;9917;315;54;108;7;1
81;28;39;19;2,9E+16;180;790;9923;323;52;118;6;1
63;31;34;22;45;200;770;9927;33;43;102;5;1
71;37;67;105;45;490;1550;9975;316;44;87;5;1
79;21;4;12;39;380;1070;992;321;54;108;6;1
85;21;41;43;3,6E+16;240;990;9947;318;53;97;6;1
81;2;4;20;3,7E+16;190;870;9921;312;54;112;6;1
63;255;37;11;4;370;1140;9905;30;39;109;6;1
56;16;27;14;4,4E+16;530;1680;9918;328;37;101;6;1
64;595;14;52;5,8E+16;150;970;9951;338;36;90;4;1
63;34;33;46;34;190;800;9917;338;58;120;7;1
69;25;3;41;5,4E+16;230;1160;9,94E+15;299;38;94;6;1
79;22;38;80;43;460;1520;9934;312;32;115;7;1
76;18;46;102;55;580;1350;9968;314;43;99;6;1
69;25;3;41;5,4E+16;230;1160;9,94E+15;299;38;94;6;1
72;18;41;12;48;410;970;9919;314;45;104;5;1
82;23;4;75;49;120;760;9966;306;84;97;6;1
74;24;42;140;66;480;1980;9979;289;42;89;6;1
74;24;42;140;66;480;1980;9979;289;42;89;6;1
61;32;24;15;3,6E+16;380;1240;9898;329;42;124;7;1
52;44;4;14;3,6E+16;430;1190;9894;336;33;121;8;1
52;44;4;14;3,6E+16;430;1190;9894;336;33;121;8;1
61;32;24;15;3,6E+16;380;1240;9898;329;42;124;7;1
64;22;56;145;55;270;1590;998;298;4;91;5;1
63;36;3;48;49;140;850;9932;328;39;106;5;1
74;24;42;140;66;480;1980;9979;289;42;89;6;1
67;24;35;131;5;640;2050;997;315;5;95;5;1
70;23;36;130;51;720;1770;9972;316;49;98;5;1
84;27;46;87;48;390;1970;9974;314;59;96;6;1
67;46;18;24;34;250;980;9896;308;44;126;7;1
75;29;31;895;55;200;1510;9968;308;54;93;5;1
98;42;48;985;34;50;1100;9958;287;29;100;5;1
71;3;46;15;66;290;1330;9906;312;54;127;6;1
79;19;45;15;45;170;960;9917;313;39;110;6;1
76;48;37;8;3,7E+16;40;1000;9902;303;39;114;4;1
63;22;43;455;38;310;1300;9918;335;33;115;7;1
75;27;31;177;51;330;1730;9,99E+15;309;64;102;5;1
69;23;4;75;4;500;1510;9927;311;27;114;6;1
72;32;47;51;4,4E+16;190;650;991;303;41;126;4;1
59;23;3;129;5,4E+16;570;1700;9972;328;39;94;5;1
60;67;7;12;6;90;1080;9931;311;35;87;4;1
64;25;32;55;49;410;1760;995;319;68;92;6;1
64;33;31;55;48;420;1730;9951;319;66;93;6;1
71;34;15;12;53;610;1830;9936;309;43;92;5;1
68;28;4;220;48;480;1670;1001;293;5;87;5;1
69;27;4;140;5;640;2270;9979;318;58;96;6;1
68;26;56;119;43;640;2260;997;302;63;93;5;1
68;29;56;119;43;660;2300;9972;302;63;93;5;1
67;24;41;94;4;490;1660;9954;312;61;99;6;1
59;3;23;42;38;420;1190;9924;315;5;110;5;1
68;53;35;38;34;260;1090;9906;326;57;127;8;1
65;28;28;85;47;540;2100;9962;309;54;89;4;1
66;28;28;85;5,2E+16;550;2110;9962;309;55;89;6;1
68;28;4;220;48;480;1670;1001;293;5;87;5;1
68;28;36;80;45;280;1230;9928;302;37;114;6;1
66;15;34;51;55;340;1250;9942;336;42;96;5;1
64;29;44;36;2;750;1810;9942;302;41;91;5;1
64;3;45;35;1,97E+16;760;1800;9942;302;39;91;6;1
64;29;44;36;1,97E+16;750;1830;9942;301;38;91;5;1
68;26;24;78;5,2E+16;540;2140;9961;313;47;89;5;1
71;32;24;131;5;520;2040;998;31;49;88;5;1
68;26;24;78;5,2E+16;540;2140;9961;313;47;89;5;1
68;27;26;161;49;550;1960;9984;315;5;93;5;1
71;32;24;131;5;520;2040;998;31;49;88;5;1
69;54;32;132;5;530;2360;9973;32;5;96;5;1
68;26;34;139;34;390;1340;9949;333;53;120;6;1
58;28;35;23;53;360;1140;9924;328;5;102;4;1
64;21;5;116;42;450;1530;9972;315;43;88;5;1
70;16;32;83;45;380;1260;9958;321;34;92;5;1
102;44;88;62;49;200;1240;9968;299;51;99;4;1
68;57;29;22;4;150;770;9938;332;74;102;5;1
61;4;31;9;48;230;1700;993;322;77;95;6;1
56;245;25;97;32;120;680;9,94E+15;331;34;105;5;1
68;18;38;14;38;350;1110;9918;332;59;112;7;1
70;16;32;83;45;380;1260;9958;321;34;92;5;1
67;13;29;53;51;310;1220;9944;344;37;97;6;1
62;25;25;14;3;350;1050;9912;33;44;111;7;1
58;26;24;92;4,4E+16;550;1520;9961;331;38;94;5;1
75;27;36;70;3,6E+16;450;1640;9939;303;33;110;5;1
58;26;24;92;4,4E+16;550;1520;9961;331;38;94;5;1
57;28;24;175;4,4E+16;600;1670;9989;331;44;94;5;1
75;23;36;70;3,6E+16;430;1610;9938;304;32;110;5;1
75;27;36;70;3,6E+16;450;1640;9939;303;33;110;5;1
72;685;21;95;7;330;1720;9971;30;55;91;6;1
62;25;25;14;3;350;1050;9912;33;44;111;7;1
65;19;3;8;43;330;1440;9936;342;39;91;6;1
63;495;22;18;46;310;1400;9929;339;54;104;6;1
71;24;41;178;46;390;1450;9998;332;39;87;5;1
64;17;32;24;48;410;2000;9938;35;5;97;6;1
71;25;32;103;4,1E+16;660;2720;9969;317;52;91;6;1
64;17;32;24;48;410;2000;9938;35;5;97;6;1
71;24;41;178;46;390;1450;9998;332;39;87;5;1
68;64;8;97;62;260;1420;9972;337;46;89;4;1
83;28;4;78;4,1E+16;380;1940;9976;334;51;96;6;1
82;27;39;78;39;490;2080;9976;331;51;95;6;1
72;23;38;143;5,8E+16;550;1940;9979;309;44;90;6;1
72;23;38;143;5,8E+16;550;1940;9979;309;44;90;6;1
72;23;38;143;5,8E+16;550;1940;9979;309;44;90;6;1
72;23;38;143;5,8E+16;550;1940;9979;309;44;90;6;1
68;52;32;132;4,4E+16;540;2210;9972;327;5;96;6;1
70;26;59;14;3,7E+16;400;1200;9918;334;41;111;7;1
62;25;21;1555;39;280;1590;9982;348;64;96;6;1
73;32;23;137;5;490;1970;9985;32;46;87;5;1
77;31;26;78;31;230;900;9944;313;5;104;5;1
71;21;37;24;2,6E+16;230;1000;9903;315;38;114;7;1
68;24;34;27;47;645;2185;9934;33;58;97;6;1
69;4;56;112;43;400;1420;9975;314;46;87;5;1
61;18;36;20;38;200;2495;9923;337;79;113;6;1
68;21;27;21;3;260;1390;99;316;61;126;7;1
58;2;27;14;31;120;770;9905;325;36;109;7;1
56;19;26;14;3;120;760;9905;325;37;109;7;1
61;41;14;104;3,7E+16;180;1190;996;338;45;100;5;1
59;21;28;46;53;400;1990;9964;372;7;100;4;1
85;26;21;162;7,4E+15;410;1970;998;302;5;98;3;1
69;4;56;112;43;400;1420;9975;314;46;87;5;1
58;24;44;35;2,9E+16;50;1090;9913;353;43;117;3;1
58;24;39;15;5,4E+16;370;1580;9932;321;52;93;6;1
67;26;39;11;4;450;1470;9935;332;58;96;8;1
63;35;3;57;35;80;970;9927;327;41;110;7;1
63;35;3;57;35;80;970;9927;327;41;110;7;1
64;23;39;18;32;230;1180;9912;332;5;118;6;1
58;36;38;9;3,7E+16;30;750;9904;328;34;114;4;1
69;115;35;54;48;360;1080;9939;332;42;102;6;1
69;29;4;1945;43;360;1560;9996;293;47;89;5;1
69;28;4;82;3,6E+16;150;950;9944;317;33;102;5;1
72;29;4;136;45;660;2310;9977;308;59;96;6;1
62;24;35;12;38;220;1670;9912;31;48;106;6;1
69;29;4;1945;43;360;1560;9996;293;47;89;5;1
69;32;26;83;53;320;1800;9965;325;51;92;6;1
53;58;7;69;43;340;1490;9944;334;57;97;5;1
53;585;7;71;4,4E+16;340;1450;9945;334;57;97;6;1
54;59;7;70;45;360;1470;9944;334;57;97;6;1
69;32;26;83;53;320;1800;9965;325;51;92;6;1
52;6;7;70;4,4E+16;330;1470;9944;333;58;97;5;1
58;25;26;131;51;440;1480;9972;329;38;93;5;1
66;58;3;51;57;300;1230;9949;324;38;90;5;1
70;29;54;107;46;590;2340;9966;305;61;95;5;1
66;19;41;89;46;510;1690;9954;314;57;98;6;1
67;2;41;91;4,4E+16;500;1660;9954;314;58;98;6;1
77;26;4;11;42;90;600;9915;289;5;106;5;1
68;32;34;12;4,4E+16;140;670;9919;305;47;106;4;1
70;3;49;47;3,6E+16;170;1050;9916;326;68;124;7;1
70;24;36;28;34;220;1120;99;319;38;126;8;1
61;31;58;50;39;360;1140;9909;33;6;123;8;1
68;44;37;51;47;460;2010;9938;308;65;105;4;1
67;34;3;156;5,4E+16;510;1960;9982;319;49;93;5;1
71;35;24;154;55;460;1980;9988;312;49;88;5;1
73;32;25;72;5,6E+16;470;1800;9961;308;47;88;5;1
65;28;33;157;53;510;1900;9978;322;51;97;6;1
72;23;39;142;5,8E+16;490;1920;9979;298;48;90;7;1
72;23;39;142;5,8E+16;490;1920;9979;298;48;90;7;1
72;23;39;142;5,8E+16;490;1920;9979;298;48;90;7;1
72;23;39;142;5,8E+16;490;1920;9979;298;48;90;7;1
59;15;31;58;4,1E+16;530;1550;9945;352;46;105;6;1
74;28;42;198;66;530;1950;10;296;44;91;5;1
62;28;22;73;4,1E+16;260;1570;9957;344;64;98;7;1
91;59;38;16;66;340;1820;9968;323;38;85;3;1
63;33;27;12;46;340;1750;9934;337;54;94;6;1
83;39;7;106;45;330;1690;9976;309;57;94;5;1
72;19;46;38;4,1E+16;820;1870;9932;319;6;112;7;1
75;17;44;113;46;650;1460;997;317;45;100;6;1
67;17;5;21;43;270;1220;9923;315;45;103;6;1
61;41;0;16;63;360;870;9914;327;67;108;6;1
83;2;35;9;5;120;740;992;313;38;105;6;1
61;41;0;16;63;360;870;9914;327;67;108;6;1
60;29;21;13;55;420;1680;9914;332;43;111;6;1
73;41;24;68;57;410;1630;9949;32;41;99;6;1
73;41;24;68;57;410;1630;9949;32;41;99;6;1
72;43;24;67;5,8E+16;400;1630;995;32;41;99;5;1
73;4;24;67;5,8E+16;410;1660;995;32;41;99;6;1
62;33;27;49;3,6E+16;300;1340;9927;32;42;104;7;1
62;31;26;48;3,7E+16;360;1480;9928;321;41;104;6;1
61;36;27;21;35;160;1000;9917;34;71;115;7;1
50;55;14;83;32;350;1640;9918;353;51;125;8;1
78;25;41;37;42;370;1490;9954;336;45;100;6;1
57;36;21;67;38;510;1660;9941;329;63;100;6;1
58;34;21;66;4;500;1670;9941;329;62;100;5;1
68;28;6;11;132;420;1270;9934;309;44;91;6;1
68;25;34;47;31;340;1340;9927;321;38;106;6;1
66;24;35;77;31;360;1350;9938;319;37;105;5;1
59;3;47;785;3;190;1330;9933;352;43;115;7;1
61;125;25;33;4;100;690;9934;354;59;101;6;1
60;1;24;11;4,1E+16;150;650;9927;361;61;103;7;1
66;24;35;77;31;360;1350;9938;319;37;105;5;1
68;25;34;47;31;340;1340;9927;321;38;106;6;1
68;28;44;93;31;350;1370;9946;316;36;104;6;1
83;41;51;20;46;110;2070;993;302;55;114;5;1
75;27;31;58;57;1310;3130;9946;318;59;105;5;1
79;26;41;1515;4;380;2160;9976;296;6;100;6;1
64;34;23;63;39;370;1430;9944;319;65;100;6;1
65;28;35;154;42;550;1950;9978;323;5;96;6;1
72;21;41;13;3,6E+16;330;850;992;317;51;104;5;1
64;32;35;48;3;340;1010;9912;336;6;125;8;1
68;24;34;46;32;370;1350;9927;32;39;106;5;1
63;23;3;18;33;160;910;9906;328;4;118;6;1
65;28;34;99;38;300;1330;9954;311;44;98;5;1
56;26;26;57;31;120;800;9923;325;38;108;5;1
63;23;3;18;33;160;910;9906;328;4;118;6;1
63;23;33;15;3,6E+16;150;1050;991;332;42;112;6;1
58;27;27;123;45;550;1700;9972;328;42;93;6;1
59;26;4;13;47;120;1390;9945;345;53;104;5;1
66;18;35;15;49;490;1410;9934;343;85;102;7;1
74;2;43;78;45;270;1530;9964;319;55;90;7;1
80;24;36;15;47;170;1290;9948;32;54;100;6;1
64;26;42;97;4,4E+16;300;1400;9962;318;47;91;6;1
54;31;47;30;53;460;1440;9931;329;76;100;5;1
54;29;47;30;5,2E+16;470;1450;993;329;75;100;6;1
71;145;33;46;5;330;1310;9942;328;4;96;6;1
56;34;1;13;31;200;680;9906;336;51;112;7;1
67;19;41;156;5,6E+16;750;1550;9995;32;44;88;6;1
78;18;46;136;5,2E+16;380;1180;998;315;5;100;6;1
76;17;45;112;5,4E+16;560;1370;997;315;47;100;5;1
63;12;36;21;4,4E+16;470;1460;9914;327;74;114;7;1
73;33;4;685;38;320;1380;992;303;3;119;7;1
55;335;3;25;71;270;1280;9924;314;51;96;6;1
73;33;4;685;38;320;1380;992;303;3;119;7;1
58;4;42;44;47;385;2450;9937;325;57;96;6;1
73;22;37;143;63;480;1910;9978;289;38;90;6;1
73;22;37;143;63;480;1910;9978;289;38;90;6;1
61;36;33;11;5;240;1690;9927;315;78;95;6;1
100;2;39;14;5;190;1520;9,94E+15;30;42;104;6;1
69;24;34;47;4;430;1610;9935;32;59;106;6;1
64;24;32;149;47;540;1620;9968;328;5;102;6;1
71;365;14;12;55;240;840;9941;315;43;89;5;1
68;15;3;53;5;400;1270;9942;34;39;97;6;1
73;22;37;143;63;480;1910;9978;289;38;90;6;1
68;16;4;23;3,7E+16;180;1020;9923;349;42;114;7;1
60;26;32;35;2,8E+16;290;1130;9912;34;71;123;7;1
60;18;27;15;8,9E+15;400;1430;9923;349;62;108;6;1
69;33;21;10;53;390;1480;9927;312;45;94;6;1
77;29;48;23;49;360;1780;9931;317;64;106;6;1
71;39;35;125;4,4E+16;260;720;9941;317;29;116;5;1
69;33;21;10;53;390;1480;9927;312;45;94;6;1
77;29;48;23;49;360;1780;9931;317;64;106;6;1
66;905;19;8;48;170;2040;9934;334;56;100;5;1
72;27;27;24;48;300;1490;9936;31;51;92;6;1
51;33;22;16;2,7E+16;180;890;9893;351;38;125;7;1
51;33;22;16;2,7E+16;180;890;9893;351;38;125;7;1
64;31;28;15;3,7E+16;120;1190;9919;332;51;104;7;1
73;2;44;14;45;210;980;9924;315;46;100;7;1
57;32;5;26;49;170;1550;9927;322;64;100;6;1
64;31;28;15;3,7E+16;120;1190;9919;332;51;104;7;1
73;2;44;14;45;210;980;9924;315;46;100;7;1
72;28;26;125;46;480;1790;9975;31;52;90;6;1
75;35;28;96;51;260;1570;9969;312;53;92;6;1
72;27;27;24;48;300;1490;9936;31;51;92;6;1
60;36;39;32;2,7E+16;200;1250;991;338;39;113;7;1
51;33;22;16;2,7E+16;180;890;9893;351;38;125;7;1
50;17;56;15;2,6E+16;240;1150;9906;348;39;108;7;1
